timestamp_ns,activated,going_to_position,status,object_status,fault,position_request_echo,position,current_raw,current_a,link_up,timestamp_ns
1777872455867318251,true,false,3,0,0,0,3,0,0.0,true,1777872455853632529
1777872455967303246,true,false,3,0,0,0,3,0,0.0,true,1777872455953394023
1777872456067327518,true,false,3,0,0,0,3,0,0.0,true,1777872456053150979
1777872456167318587,true,false,3,0,0,0,3,0,0.0,true,1777872456153374697
1777872456267317304,true,false,3,0,0,0,3,0,0.0,true,1777872456253375432
1777872456367355446,true,false,3,0,0,0,3,0,0.0,true,1777872456352428461
1777872456467301885,true,false,3,0,0,0,3,0,0.0,true,1777872456452385808
1777872456567316658,true,false,3,0,0,0,3,0,0.0,true,1777872456553380416
1777872456667336726,true,false,3,0,0,0,3,0,0.0,true,1777872456653385577
1777872456767318906,true,false,3,0,0,0,3,0,0.0,true,1777872456752454995
1777872456867325364,true,false,3,0,0,0,3,0,0.0,true,1777872456853390344
1777872456967338710,true,false,3,0,0,0,3,0,0.0,true,1777872456953390209
1777872457067327297,true,false,3,0,0,0,3,0,0.0,true,1777872457052746628
1777872457167321310,true,false,3,0,0,0,3,0,0.0,true,1777872457153392198
1777872457267314786,true,false,3,0,0,0,3,0,0.0,true,1777872457253394489
1777872457367321281,true,false,3,0,0,0,3,0,0.0,true,1777872457353397928
1777872457467340035,true,false,3,0,0,0,3,0,0.0,true,1777872457452805699
1777872457567331381,true,false,3,0,0,0,3,0,0.0,true,1777872457553546677
1777872457667343969,true,false,3,0,0,0,3,0,0.0,true,1777872457653404912
1777872457767324963,true,false,3,0,0,0,3,0,0.0,true,1777872457753052313
1777872457867337810,true,false,3,0,0,0,3,0,0.0,true,1777872457853410161
1777872457967384397,true,false,3,0,0,0,3,0,0.0,true,1777872457953401100
1777872458067337299,true,false,3,0,0,0,3,0,0.0,true,1777872458053403724
1777872458167332775,true,false,3,0,0,0,3,0,0.0,true,1777872458152403586
1777872458267350510,true,false,3,0,0,0,3,0,0.0,true,1777872458253406787
1777872458367322208,true,false,3,0,0,0,3,0,0.0,true,1777872458353406874
1777872458466948850,true,false,3,0,0,0,3,0,0.0,true,1777872458452456903
1777872458567360883,true,false,3,0,0,0,3,0,0.0,true,1777872458553412308
1777872458667345692,true,false,3,0,0,0,3,0,0.0,true,1777872458653896915
